mode,scenario,input_mode,measurement_kind,feature,snr_db,noise_kind,true_id,predicted_id,count
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amplitude,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amp_phase_joint_weighted,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,cir,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,toa,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amplitude,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amp_phase_joint_weighted,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,cir,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,toa,Inf,none,T3,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amplitude,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amp_phase_joint_weighted,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,cir,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,toa,Inf,none,T4,T2,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amplitude,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,amp_phase_joint_weighted,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,cir,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,siso_forward,toa,Inf,none,T5,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amplitude,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amp_phase_joint_weighted,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,cir,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,toa,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amplitude,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amp_phase_joint_weighted,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,cir,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,toa,Inf,none,T3,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amplitude,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amp_phase_joint_weighted,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,cir,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,toa,Inf,none,T4,T2,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amplitude,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,amp_phase_joint_weighted,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,cir,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,bidirectional_endpoint_fixed,toa,Inf,none,T5,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amplitude,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amp_phase_joint_weighted,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,cir,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,toa,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amplitude,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amp_phase_joint_weighted,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,cir,Inf,none,T3,T3,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,toa,Inf,none,T3,T2,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amplitude,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amp_phase_joint_weighted,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,cir,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,toa,Inf,none,T4,T4,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amplitude,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,amp_phase_joint_weighted,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,cir,Inf,none,T5,T5,2
formal,ideal_true_cfr,ideal_true_cfr,dual_receiver_complete,toa,Inf,none,T5,T2,2
formal,ideal_true_cfr,ideal_true_cfr,three_view_complete,amplitude,Inf,none,T2,T2,2
formal,ideal_true_cfr,ideal_true_cfr,three_view_complete,amp_phase_joint_weighted,Inf,none,T2,T2,2
